station,time,item,value,unit
大城站,06,乙烷,4.72,ppb
大城站,06,乙烯,3.75,ppb
大城站,06,丙烷,5.19,ppb
大城站,06,丙烯,1.43,ppb
大城站,06,異丁烷,1.34,ppb
大城站,06,正丁烷,2.72,ppb
大城站,06,乙炔,2.54,ppb
大城站,06,反2-丁烯,0.28,ppb
大城站,06,1-丁烯,0.3,ppb
大城站,06,順2-丁烯,0.14,ppb
大城站,06,環戊烷,0.26,ppb
大城站,06,異戊烷,1.64,ppb
大城站,06,正戊烷,0.74,ppb
大城站,06,反2-戊烯,0.13,ppb
大城站,06,1-戊烯,0.06,ppb
大城站,06,順2-戊烯,0.04,ppb
大城站,06,"2,2-二甲基丁烷",0.02,ppb
大城站,06,"2,3-二甲基丁烷",0.09,ppb
大城站,06,2-甲基戊烷,0.36,ppb
大城站,06,3-甲基戊烷,0.34,ppb
大城站,06,異戊二烯,0.14,ppb
大城站,06,正己烷,0.58,ppb
大城站,06,甲基環戊烷,0.38,ppb
大城站,06,"2,4-二甲基戊烷",0.17,ppb
大城站,06,苯,0.65,ppb
大城站,06,環己烷,0.24,ppb
大城站,06,2-甲基己烷,0.6,ppb
大城站,06,"2,3-二甲基戊烷",0.26,ppb
大城站,06,3-甲基己烷,0.64,ppb
大城站,06,"2,2,4-三甲基戊烷",0.32,ppb
大城站,06,正庚烷,0.26,ppb
大城站,06,甲基環己烷,0.22,ppb
大城站,06,"2,3,4-三甲基戊烷",0.15,ppb
大城站,06,甲苯,12.25,ppb
大城站,06,2-甲基庚烷,0.19,ppb
大城站,06,3-甲基庚烷,0.06,ppb
大城站,06,正辛烷,0.07,ppb
大城站,06,乙苯,0.41,ppb
大城站,06,"間,對二甲苯",1.38,ppb
大城站,06,苯乙烯,0,ppb
大城站,06,鄰二甲苯,0.52,ppb
大城站,06,正壬烷,0.04,ppb
大城站,06,異丙基苯,0.02,ppb
大城站,06,正丙基苯,0.04,ppb
大城站,06,間-乙基甲苯,0,ppb
大城站,06,對-乙基甲苯,0.14,ppb
大城站,06,"1,3,5-三甲基苯",0.05,ppb
大城站,06,鄰-乙基甲苯,0.08,ppb
大城站,06,"1,2,4-三甲基苯",0.43,ppb
大城站,06,葵烷,0.11,ppb
大城站,06,"1,2,3-三甲基苯",0.2,ppb
大城站,06,間-二乙基苯,0.02,ppb
大城站,06,對-二乙基苯,0.01,ppbv
大城站,06,正十一烷,0.12,ppbv
東石站,06,乙烷,2.44,ppb
東石站,06,乙烯,2.04,ppb
東石站,06,丙烷,3.04,ppb
東石站,06,丙烯,0.71,ppb
東石站,06,異丁烷,1.31,ppb
東石站,06,正丁烷,2.98,ppb
